Title,Content,Category,Location,Listing,Image
AMD Photography,"<!-- wp:paragraph -->
<p>Professional Commercial &amp; Wedding Photography<br>Thank you for choosing to view our website and a very warm welcome from the team at AMD Photography. We hope you find all the information you need regarding our commercial photography and wedding photography on this site, however if there is anything you would like to know, please do not hesitate to contact us for more details.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Our Company Vision<br>Company Director, Anthony M. D'Arcy LMPA, has been extensively involved with commercial photography, wedding photography and multimedia production in Ayrshire, Glasgow and Edinburgh for over 20 years. There is a strong demand for quality professional photography, to that end Anthony created a company which has forged an excellent and widely respected reputation in the field.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Our philosophy is to offer quality without compromise. We create sophisticated images using skilled craftsmanship and the very best technology - in short, we pursue perfection.<br>We invite you to browse our website to see the range of professional photography services we offer and feel free to contact us with any questions you may have.</p>
<!-- /wp:paragraph -->",,5e43e76ba24c7,"a:32:{s:12:""tagline_text"";s:0:"""";s:8:""gAddress"";s:36:""2 Blythswood Square, Glasgow, G2 4AD"";s:8:""latitude"";s:17:""55.86387920943316"";s:9:""longitude"";s:18:""-4.263025020789881"";s:6:""mappin"";s:0:"""";s:5:""phone"";s:13:""0141 882 5820"";s:8:""whatsapp"";s:0:"""";s:5:""email"";s:26:""info@amd-photography.co.uk"";s:7:""website"";s:33:""http://www.amd-photography.co.uk/"";s:7:""twitter"";s:0:"""";s:8:""facebook"";s:0:"""";s:8:""linkedin"";s:0:"""";s:11:""google_plus"";s:0:"""";s:7:""youtube"";s:0:"""";s:9:""instagram"";s:0:"""";s:5:""video"";s:0:"""";s:7:""gallery"";s:0:"""";s:12:""price_status"";s:6:""notsay"";s:10:""list_price"";s:0:"""";s:13:""list_price_to"";s:0:"""";s:7:""Plan_id"";s:1:""0"";s:11:""reviews_ids"";s:0:"""";s:15:""claimed_section"";s:11:""not_claimed"";s:26:""listings_ads_purchase_date"";s:0:"""";s:30:""listings_ads_purchase_packages"";s:0:"""";s:4:""faqs"";a:2:{s:3:""faq"";a:1:{i:1;s:0:"""";}s:6:""faqans"";a:1:{i:1;s:0:"""";}}s:14:""business_hours"";s:0:"""";s:11:""campaign_id"";s:0:"""";s:14:""changed_planid"";s:0:"""";s:19:""listing_reported_by"";s:0:"""";s:16:""listing_reported"";s:0:"""";s:13:""business_logo"";s:0:"""";}",
Amy Hopkins,,,5e43e76ba24c7,"a:32:{s:12:""tagline_text"";s:0:"""";s:8:""gAddress"";s:47:""52 St. Enoch Square, 1st floor, Glasgow, G1 4AA"";s:8:""latitude"";s:17:""55.85714237094461"";s:9:""longitude"";s:18:""-4.255685140307827"";s:6:""mappin"";s:0:"""";s:5:""phone"";s:13:""0141 204 1206"";s:8:""whatsapp"";s:0:"""";s:5:""email"";s:0:"""";s:7:""website"";s:0:"""";s:7:""twitter"";s:0:"""";s:8:""facebook"";s:0:"""";s:8:""linkedin"";s:0:"""";s:11:""google_plus"";s:0:"""";s:7:""youtube"";s:0:"""";s:9:""instagram"";s:0:"""";s:5:""video"";s:0:"""";s:7:""gallery"";s:0:"""";s:12:""price_status"";s:6:""notsay"";s:10:""list_price"";s:0:"""";s:13:""list_price_to"";s:0:"""";s:7:""Plan_id"";s:1:""0"";s:11:""reviews_ids"";s:0:"""";s:15:""claimed_section"";s:11:""not_claimed"";s:26:""listings_ads_purchase_date"";s:0:"""";s:30:""listings_ads_purchase_packages"";s:0:"""";s:4:""faqs"";a:2:{s:3:""faq"";a:1:{i:1;s:0:"""";}s:6:""faqans"";a:1:{i:1;s:0:"""";}}s:14:""business_hours"";s:0:"""";s:11:""campaign_id"";s:0:"""";s:14:""changed_planid"";s:0:"""";s:19:""listing_reported_by"";s:0:"""";s:16:""listing_reported"";s:0:"""";s:13:""business_logo"";s:0:"""";}",
Angelique Lamont Bridals,,,5e43e76ba24c7,"a:32:{s:12:""tagline_text"";s:0:"""";s:8:""gAddress"";s:35:""181-185, Howard St, Glasgow, G1 4HF"";s:8:""latitude"";s:16:""55.8557713631519"";s:9:""longitude"";s:18:""-4.251228825221233"";s:6:""mappin"";s:0:"""";s:5:""phone"";s:13:""0141 552 6800"";s:8:""whatsapp"";s:0:"""";s:5:""email"";s:0:"""";s:7:""website"";s:43:""http://www.angeliquelamontbridalwear.co.uk/"";s:7:""twitter"";s:0:"""";s:8:""facebook"";s:0:"""";s:8:""linkedin"";s:0:"""";s:11:""google_plus"";s:0:"""";s:7:""youtube"";s:0:"""";s:9:""instagram"";s:0:"""";s:5:""video"";s:0:"""";s:7:""gallery"";s:0:"""";s:12:""price_status"";s:6:""notsay"";s:10:""list_price"";s:0:"""";s:13:""list_price_to"";s:0:"""";s:7:""Plan_id"";s:1:""0"";s:11:""reviews_ids"";s:0:"""";s:15:""claimed_section"";s:11:""not_claimed"";s:26:""listings_ads_purchase_date"";s:0:"""";s:30:""listings_ads_purchase_packages"";s:0:"""";s:4:""faqs"";a:2:{s:3:""faq"";a:1:{i:1;s:0:"""";}s:6:""faqans"";a:1:{i:1;s:0:"""";}}s:14:""business_hours"";s:0:"""";s:11:""campaign_id"";s:0:"""";s:14:""changed_planid"";s:0:"""";s:19:""listing_reported_by"";s:0:"""";s:16:""listing_reported"";s:0:"""";s:13:""business_logo"";s:0:"""";}",
Anne Priscilla,,,5e43e76ba24c7,"a:32:{s:12:""tagline_text"";s:0:"""";s:8:""gAddress"";s:29:""57 Miller St, Glasgow, G1 1EB"";s:8:""latitude"";s:17:""55.85900245791834"";s:9:""longitude"";s:18:""-4.251027523373528"";s:6:""mappin"";s:0:"""";s:5:""phone"";s:13:""0141 222 2504"";s:8:""whatsapp"";s:0:"""";s:5:""email"";s:30:""info@annepriscillabridal.co.uk"";s:7:""website"";s:33:""http://annepriscillabridal.co.uk/"";s:7:""twitter"";s:0:"""";s:8:""facebook"";s:0:"""";s:8:""linkedin"";s:0:"""";s:11:""google_plus"";s:0:"""";s:7:""youtube"";s:0:"""";s:9:""instagram"";s:0:"""";s:5:""video"";s:0:"""";s:7:""gallery"";s:0:"""";s:12:""price_status"";s:6:""notsay"";s:10:""list_price"";s:0:"""";s:13:""list_price_to"";s:0:"""";s:7:""Plan_id"";s:1:""0"";s:11:""reviews_ids"";s:0:"""";s:15:""claimed_section"";s:11:""not_claimed"";s:26:""listings_ads_purchase_date"";s:0:"""";s:30:""listings_ads_purchase_packages"";s:0:"""";s:4:""faqs"";a:2:{s:3:""faq"";a:1:{i:1;s:0:"""";}s:6:""faqans"";a:1:{i:1;s:0:"""";}}s:14:""business_hours"";s:0:"""";s:11:""campaign_id"";s:0:"""";s:14:""changed_planid"";s:0:"""";s:19:""listing_reported_by"";s:0:"""";s:16:""listing_reported"";s:0:"""";s:13:""business_logo"";s:0:"""";}",
Annie Pannie Tablelinen,,,5e43e76ba24c7,"a:32:{s:12:""tagline_text"";s:0:"""";s:8:""gAddress"";s:41:""0/1, 44, Ferryden Court, Glasgow, G14 0SR"";s:8:""latitude"";s:17:""55.87159243104375"";s:9:""longitude"";s:18:""-4.332188964951086"";s:6:""mappin"";s:0:"""";s:5:""phone"";s:14:"" 0141 581 6231"";s:8:""whatsapp"";s:0:"""";s:5:""email"";s:0:"""";s:7:""website"";s:0:"""";s:7:""twitter"";s:0:"""";s:8:""facebook"";s:0:"""";s:8:""linkedin"";s:0:"""";s:11:""google_plus"";s:0:"""";s:7:""youtube"";s:0:"""";s:9:""instagram"";s:0:"""";s:5:""video"";s:0:"""";s:7:""gallery"";s:0:"""";s:12:""price_status"";s:6:""notsay"";s:10:""list_price"";s:0:"""";s:13:""list_price_to"";s:0:"""";s:7:""Plan_id"";s:1:""0"";s:11:""reviews_ids"";s:0:"""";s:15:""claimed_section"";s:11:""not_claimed"";s:26:""listings_ads_purchase_date"";s:0:"""";s:30:""listings_ads_purchase_packages"";s:0:"""";s:4:""faqs"";a:2:{s:3:""faq"";a:1:{i:1;s:0:"""";}s:6:""faqans"";a:1:{i:1;s:0:"""";}}s:14:""business_hours"";s:0:"""";s:11:""campaign_id"";s:0:"""";s:14:""changed_planid"";s:0:"""";s:19:""listing_reported_by"";s:0:"""";s:16:""listing_reported"";s:0:"""";s:13:""business_logo"";s:0:"""";}",
Anthony Brannan Photography,,,5e43e76ba24c7,"a:32:{s:12:""tagline_text"";s:0:"""";s:8:""gAddress"";s:37:""43 Drumloch Gardens, Glasgow, G75 0UT"";s:8:""latitude"";s:17:""55.74248147264852"";s:9:""longitude"";s:18:""-4.176300343144952"";s:6:""mappin"";s:0:"""";s:5:""phone"";s:12:""07812 832401"";s:8:""whatsapp"";s:0:"""";s:5:""email"";s:0:"""";s:7:""website"";s:51:""http://www.anthonybrannanphotography.moonfruit.com/"";s:7:""twitter"";s:0:"""";s:8:""facebook"";s:0:"""";s:8:""linkedin"";s:0:"""";s:11:""google_plus"";s:0:"""";s:7:""youtube"";s:0:"""";s:9:""instagram"";s:0:"""";s:5:""video"";s:0:"""";s:7:""gallery"";s:0:"""";s:12:""price_status"";s:6:""notsay"";s:10:""list_price"";s:0:"""";s:13:""list_price_to"";s:0:"""";s:7:""Plan_id"";s:1:""0"";s:11:""reviews_ids"";s:0:"""";s:15:""claimed_section"";s:11:""not_claimed"";s:26:""listings_ads_purchase_date"";s:0:"""";s:30:""listings_ads_purchase_packages"";s:0:"""";s:4:""faqs"";a:2:{s:3:""faq"";a:1:{i:1;s:0:"""";}s:6:""faqans"";a:1:{i:1;s:0:"""";}}s:14:""business_hours"";a:5:{s:6:""Monday"";a:2:{s:4:""open"";s:7:""09:00am"";s:5:""close"";s:7:""05:00pm"";}s:7:""Tuesday"";a:2:{s:4:""open"";s:7:""09:00am"";s:5:""close"";s:7:""05:00pm"";}s:9:""Wednesday"";a:2:{s:4:""open"";s:7:""09:00am"";s:5:""close"";s:7:""05:00pm"";}s:8:""Thursday"";a:2:{s:4:""open"";s:7:""09:00am"";s:5:""close"";s:7:""05:00pm"";}s:6:""Friday"";a:2:{s:4:""open"";s:7:""09:00am"";s:5:""close"";s:7:""05:00pm"";}}s:11:""campaign_id"";s:0:"""";s:14:""changed_planid"";s:0:"""";s:19:""listing_reported_by"";s:0:"""";s:16:""listing_reported"";s:0:"""";s:13:""business_logo"";s:0:"""";}",
Aramark Ltd,,,5e43e76ba24c7,"a:32:{s:12:""tagline_text"";s:0:"""";s:8:""gAddress"";s:80:""Phoenix House, Phoenix Crescent, Strathclyde Business Park, Bellshill, ML4 3NJ"";s:8:""latitude"";s:17:""55.83285237044879"";s:9:""longitude"";s:18:""-4.037313739558667"";s:6:""mappin"";s:0:"""";s:5:""phone"";s:33:""supplychain-support@aramark.co.uk"";s:8:""whatsapp"";s:0:"""";s:5:""email"";s:12:""01698 501166"";s:7:""website"";s:25:""http://www.aramark.co.uk/"";s:7:""twitter"";s:0:"""";s:8:""facebook"";s:0:"""";s:8:""linkedin"";s:0:"""";s:11:""google_plus"";s:0:"""";s:7:""youtube"";s:0:"""";s:9:""instagram"";s:0:"""";s:5:""video"";s:0:"""";s:7:""gallery"";s:0:"""";s:12:""price_status"";s:6:""notsay"";s:10:""list_price"";s:0:"""";s:13:""list_price_to"";s:0:"""";s:7:""Plan_id"";s:1:""0"";s:11:""reviews_ids"";s:0:"""";s:15:""claimed_section"";s:11:""not_claimed"";s:26:""listings_ads_purchase_date"";s:0:"""";s:30:""listings_ads_purchase_packages"";s:0:"""";s:4:""faqs"";a:2:{s:3:""faq"";a:1:{i:1;s:0:"""";}s:6:""faqans"";a:1:{i:1;s:0:"""";}}s:14:""business_hours"";s:0:"""";s:11:""campaign_id"";s:0:"""";s:14:""changed_planid"";s:0:"""";s:19:""listing_reported_by"";s:0:"""";s:16:""listing_reported"";s:0:"""";s:13:""business_logo"";s:0:"""";}",
Arco Blanco Bridal Couture,"<!-- wp:paragraph -->
<p>About us</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>The Arco Blanco Experience</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Our philosophy is simple… we believe that buying the most important dress of your life should be a magical, memorable moment. To achieve this, each and every one of our brides is offered a bespoke, professionally tailored service, given the choice of the most stunning, exclusive designs and private use of our beautiful boutique environment in which to experience this.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>We are extremely selective about our wedding dresses, and as such we only work with the very best up and coming designers from around the world. We are currently the only bridal store in Scotland to offer Oksana Mukha designs, and indeed one of very few places in the whole of the United Kingdom. This designer’s focus on design and quality is unparalleled. The dresses are perfect examples of high artistic taste, combined with quality and skill, using only the best materials from around the world. The dresses are made of carefully selected quality European fabrics such as silk, taffeta, organza and chiffon, and hand-decorated with complex patterns of pearls, Swarovski crystals, Italian glass and Japanese beading. . We offer a style to suit everyone, from the stylishly simple silhouette to the opulent fairytale extravagance each and every gown we stock has as much personality as you do.</p>
<!-- /wp:paragraph -->",,5e43e76ba24c7,"a:32:{s:12:""tagline_text"";s:0:"""";s:8:""gAddress"";s:44:""102 Cross Arthurlie Street, Glasgow, G78 1EB"";s:8:""latitude"";s:17:""55.80138377071692"";s:9:""longitude"";s:18:""-4.397831309450708"";s:6:""mappin"";s:0:"""";s:5:""phone"";s:13:""0141 258 1230"";s:8:""whatsapp"";s:0:"""";s:5:""email"";s:0:"""";s:7:""website"";s:32:""http://www.arcoblancobridal.com/"";s:7:""twitter"";s:0:"""";s:8:""facebook"";s:0:"""";s:8:""linkedin"";s:0:"""";s:11:""google_plus"";s:0:"""";s:7:""youtube"";s:0:"""";s:9:""instagram"";s:0:"""";s:5:""video"";s:0:"""";s:7:""gallery"";s:0:"""";s:12:""price_status"";s:6:""notsay"";s:10:""list_price"";s:0:"""";s:13:""list_price_to"";s:0:"""";s:7:""Plan_id"";s:1:""0"";s:11:""reviews_ids"";s:0:"""";s:15:""claimed_section"";s:11:""not_claimed"";s:26:""listings_ads_purchase_date"";s:0:"""";s:30:""listings_ads_purchase_packages"";s:0:"""";s:4:""faqs"";a:2:{s:3:""faq"";a:1:{i:1;s:0:"""";}s:6:""faqans"";a:1:{i:1;s:0:"""";}}s:14:""business_hours"";s:0:"""";s:11:""campaign_id"";s:0:"""";s:14:""changed_planid"";s:0:"""";s:19:""listing_reported_by"";s:0:"""";s:16:""listing_reported"";s:0:"""";s:13:""business_logo"";s:0:"""";}",
Norwood Hall Hotel,"<!-- wp:paragraph -->
<p>Macdonald&nbsp;Norwood Hall&nbsp;Hotel was built in 1881 on the site of the 15<sup>th</sup>&nbsp;Century Pitfodels Castle, offering guests the best in breathtaking Scottish scenery and fine facilities. Conveniently located within easy reach of the historic city centre, Norwood hall Hotel in Aberdeen is a popular choice for anyone visiting Aberdeen on holiday, business or to attend family events such as<a href=""http://www.macdonaldhotels.co.uk/our-hotels/norwood-hall-hotel/weddings/"">wedding</a> receptions.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>This Aberdeen hotel is a perfect venue for celebrations, events and conferences - Macdonald&nbsp;Norwood Hall Hotel boasts superb guest accommodation and stylish meeting and function rooms, plus breathtaking gardens and surrounding woodland.</p>
<!-- /wp:paragraph -->

<!-- wp:paragraph -->
<p>Macdonald&nbsp;Norwood Hall Hotel makes an ideal base for country adventures. Roam the&nbsp;beautiful Scottish countryside and marvel in the glorious scenery the Aberdeen area has to offer. And once you've finished exploring, we recommend a visit to our fabulous&nbsp;<a href=""http://www.macdonaldhotels.co.uk/our-hotels/norwood-hall-hotel/eat-drink/tapestry-restaurant/"">Tapestry Restaurant</a> to sample some of the fine fare on offer.</p>
<!-- /wp:paragraph -->",5efc4f40e4666,5e43e351e37f5,"a:32:{s:12:""tagline_text"";s:18:""Norwood Hall Hotel"";s:8:""gAddress"";s:31:""Garthdee Rd, Aberdeen, AB15 9FX"";s:8:""latitude"";s:17:""57.11948476642754"";s:9:""longitude"";s:18:""-2.152807591556004"";s:6:""mappin"";s:0:"""";s:5:""phone"";s:13:"" 01224 868951"";s:8:""whatsapp"";s:0:"""";s:5:""email"";s:0:"""";s:7:""website"";s:33:""http://www.macdonaldhotels.co.uk/"";s:7:""twitter"";s:0:"""";s:8:""facebook"";s:0:"""";s:8:""linkedin"";s:0:"""";s:11:""google_plus"";s:0:"""";s:7:""youtube"";s:0:"""";s:9:""instagram"";s:0:"""";s:5:""video"";s:0:"""";s:7:""gallery"";s:0:"""";s:12:""price_status"";s:6:""notsay"";s:10:""list_price"";s:0:"""";s:13:""list_price_to"";s:0:"""";s:7:""Plan_id"";s:1:""0"";s:11:""reviews_ids"";s:0:"""";s:15:""claimed_section"";s:11:""not_claimed"";s:26:""listings_ads_purchase_date"";s:0:"""";s:30:""listings_ads_purchase_packages"";s:0:"""";s:4:""faqs"";a:2:{s:3:""faq"";a:1:{i:1;s:0:"""";}s:6:""faqans"";a:1:{i:1;s:0:"""";}}s:14:""business_hours"";a:5:{s:6:""Monday"";a:2:{s:4:""open"";s:7:""09:00am"";s:5:""close"";s:7:""05:00pm"";}s:7:""Tuesday"";a:2:{s:4:""open"";s:7:""09:00am"";s:5:""close"";s:7:""05:00pm"";}s:9:""Wednesday"";a:2:{s:4:""open"";s:7:""09:00am"";s:5:""close"";s:7:""05:00pm"";}s:8:""Thursday"";a:2:{s:4:""open"";s:7:""09:00am"";s:5:""close"";s:7:""05:00pm"";}s:6:""Friday"";a:2:{s:4:""open"";s:7:""09:00am"";s:5:""close"";s:7:""05:00pm"";}}s:11:""campaign_id"";s:0:"""";s:14:""changed_planid"";s:0:"""";s:19:""listing_reported_by"";s:0:"""";s:16:""listing_reported"";s:0:"""";s:13:""business_logo"";s:0:"""";}",
Norwood Hall Hotel,,,5e43e351e37f5,"a:32:{s:12:""tagline_text"";s:18:""Norwood Hall Hotel"";s:8:""gAddress"";s:31:""Garthdee Rd, Aberdeen, AB15 9FX"";s:8:""latitude"";s:17:""57.11948476642754"";s:9:""longitude"";s:18:""-2.152807591556004"";s:6:""mappin"";s:0:"""";s:5:""phone"";s:12:""01224 868951"";s:8:""whatsapp"";s:0:"""";s:5:""email"";s:0:"""";s:7:""website"";s:73:""http://www.macdonaldhotels.co.uk/our-hotels/macdonald-norwood-hall-hotel/"";s:7:""twitter"";s:0:"""";s:8:""facebook"";s:0:"""";s:8:""linkedin"";s:0:"""";s:11:""google_plus"";s:0:"""";s:7:""youtube"";s:0:"""";s:9:""instagram"";s:0:"""";s:5:""video"";s:0:"""";s:7:""gallery"";s:0:"""";s:12:""price_status"";s:6:""notsay"";s:10:""list_price"";s:0:"""";s:13:""list_price_to"";s:0:"""";s:7:""Plan_id"";s:1:""0"";s:11:""reviews_ids"";s:0:"""";s:15:""claimed_section"";s:11:""not_claimed"";s:26:""listings_ads_purchase_date"";s:0:"""";s:30:""listings_ads_purchase_packages"";s:0:"""";s:4:""faqs"";a:2:{s:3:""faq"";a:1:{i:1;s:0:"""";}s:6:""faqans"";a:1:{i:1;s:0:"""";}}s:14:""business_hours"";a:5:{s:6:""Monday"";a:2:{s:4:""open"";s:7:""09:00am"";s:5:""close"";s:7:""05:00pm"";}s:7:""Tuesday"";a:2:{s:4:""open"";s:7:""09:00am"";s:5:""close"";s:7:""05:00pm"";}s:9:""Wednesday"";a:2:{s:4:""open"";s:7:""09:00am"";s:5:""close"";s:7:""05:00pm"";}s:8:""Thursday"";a:2:{s:4:""open"";s:7:""09:00am"";s:5:""close"";s:7:""05:00pm"";}s:6:""Friday"";a:2:{s:4:""open"";s:7:""09:00am"";s:5:""close"";s:7:""05:00pm"";}}s:11:""campaign_id"";s:0:"""";s:14:""changed_planid"";s:0:"""";s:19:""listing_reported_by"";s:0:"""";s:16:""listing_reported"";s:0:"""";s:13:""business_logo"";s:0:"""";}",
Art of Engraving,,5e4401d23d861,5e43e76ba24c7,"a:32:{s:12:""tagline_text"";s:0:"""";s:8:""gAddress"";s:57:""Avenida Universidad 1200, Xoco, Mexico City, CDMX, Mexico"";s:8:""latitude"";s:17:""55.82277846843287"";s:9:""longitude"";s:18:""-4.260889003489359"";s:6:""mappin"";s:0:"""";s:5:""phone"";s:14:"" 0141 237 7099"";s:8:""whatsapp"";s:0:"""";s:5:""email"";s:28:""artofengravinguk@yahoo.co.uk"";s:7:""website"";s:32:""http://www.artofengravinguk.com/"";s:7:""twitter"";s:0:"""";s:8:""facebook"";s:0:"""";s:8:""linkedin"";s:0:"""";s:11:""google_plus"";s:0:"""";s:7:""youtube"";s:0:"""";s:9:""instagram"";s:0:"""";s:5:""video"";s:0:"""";s:7:""gallery"";s:0:"""";s:12:""price_status"";s:6:""notsay"";s:10:""list_price"";s:0:"""";s:13:""list_price_to"";s:0:"""";s:7:""Plan_id"";s:1:""0"";s:11:""reviews_ids"";s:0:"""";s:15:""claimed_section"";s:11:""not_claimed"";s:26:""listings_ads_purchase_date"";s:0:"""";s:30:""listings_ads_purchase_packages"";s:0:"""";s:4:""faqs"";a:2:{s:3:""faq"";a:1:{i:1;s:0:"""";}s:6:""faqans"";a:1:{i:1;s:0:"""";}}s:14:""business_hours"";s:0:"""";s:11:""campaign_id"";s:0:"""";s:14:""changed_planid"";s:0:"""";s:19:""listing_reported_by"";s:0:"""";s:16:""listing_reported"";s:0:"""";s:13:""business_logo"";s:0:"""";}",
Artstore,,5e4401d23d861,5e43e76ba24c7,"a:32:{s:12:""tagline_text"";s:0:"""";s:8:""gAddress"";s:28:""94 Queen St, Glasgow, G1 3AQ"";s:8:""latitude"";s:17:""55.86007134410809"";s:9:""longitude"";s:18:""-4.251624997353901"";s:6:""mappin"";s:0:"""";s:5:""phone"";s:13:""0141 221 1101"";s:8:""whatsapp"";s:0:"""";s:5:""email"";s:0:"""";s:7:""website"";s:27:""https://www.artstore.co.uk/"";s:7:""twitter"";s:0:"""";s:8:""facebook"";s:0:"""";s:8:""linkedin"";s:0:"""";s:11:""google_plus"";s:0:"""";s:7:""youtube"";s:0:"""";s:9:""instagram"";s:0:"""";s:5:""video"";s:0:"""";s:7:""gallery"";s:0:"""";s:12:""price_status"";s:6:""notsay"";s:10:""list_price"";s:0:"""";s:13:""list_price_to"";s:0:"""";s:7:""Plan_id"";s:1:""0"";s:11:""reviews_ids"";s:0:"""";s:15:""claimed_section"";s:11:""not_claimed"";s:26:""listings_ads_purchase_date"";s:0:"""";s:30:""listings_ads_purchase_packages"";s:0:"""";s:4:""faqs"";a:2:{s:3:""faq"";a:1:{i:1;s:0:"""";}s:6:""faqans"";a:1:{i:1;s:0:"""";}}s:14:""business_hours"";s:0:"""";s:11:""campaign_id"";s:0:"""";s:14:""changed_planid"";s:0:"""";s:19:""listing_reported_by"";s:0:"""";s:16:""listing_reported"";s:0:"""";s:13:""business_logo"";s:0:"""";}",
Artstore Ltd,,5e4401d23d861,5e43e76ba24c7,"a:32:{s:12:""tagline_text"";s:0:"""";s:8:""gAddress"";s:32:""94 Queen Street, Glasgow, G1 3AQ"";s:8:""latitude"";s:17:""55.86000398698172"";s:9:""longitude"";s:18:""-4.252058413730579"";s:6:""mappin"";s:0:"""";s:5:""phone"";s:14:"" 0141 221 1101"";s:8:""whatsapp"";s:0:"""";s:5:""email"";s:0:"""";s:7:""website"";s:0:"""";s:7:""twitter"";s:0:"""";s:8:""facebook"";s:0:"""";s:8:""linkedin"";s:0:"""";s:11:""google_plus"";s:0:"""";s:7:""youtube"";s:0:"""";s:9:""instagram"";s:0:"""";s:5:""video"";s:0:"""";s:7:""gallery"";s:0:"""";s:12:""price_status"";s:6:""notsay"";s:10:""list_price"";s:0:"""";s:13:""list_price_to"";s:0:"""";s:7:""Plan_id"";s:1:""0"";s:11:""reviews_ids"";s:0:"""";s:15:""claimed_section"";s:11:""not_claimed"";s:26:""listings_ads_purchase_date"";s:0:"""";s:30:""listings_ads_purchase_packages"";s:0:"""";s:4:""faqs"";a:2:{s:3:""faq"";a:1:{i:1;s:0:"""";}s:6:""faqans"";a:1:{i:1;s:0:"""";}}s:14:""business_hours"";s:0:"""";s:11:""campaign_id"";s:0:"""";s:14:""changed_planid"";s:0:"""";s:19:""listing_reported_by"";s:0:"""";s:16:""listing_reported"";s:0:"""";s:13:""business_logo"";s:0:"""";}",
Asian Wedding Videos,,,5e43e76ba24c7,"a:32:{s:12:""tagline_text"";s:0:"""";s:8:""gAddress"";s:28:""29 Keir St, Glasgow, G41 2NP"";s:8:""latitude"";s:17:""55.84246340024771"";s:9:""longitude"";s:17:""-4.27389051892427"";s:6:""mappin"";s:0:"""";s:5:""phone"";s:13:""0141 404 5889"";s:8:""whatsapp"";s:0:"""";s:5:""email"";s:0:"""";s:7:""website"";s:32:""http://www.wedding-videos.co.uk/"";s:7:""twitter"";s:0:"""";s:8:""facebook"";s:0:"""";s:8:""linkedin"";s:0:"""";s:11:""google_plus"";s:0:"""";s:7:""youtube"";s:0:"""";s:9:""instagram"";s:0:"""";s:5:""video"";s:0:"""";s:7:""gallery"";s:0:"""";s:12:""price_status"";s:6:""notsay"";s:10:""list_price"";s:0:"""";s:13:""list_price_to"";s:0:"""";s:7:""Plan_id"";s:1:""0"";s:11:""reviews_ids"";s:0:"""";s:15:""claimed_section"";s:11:""not_claimed"";s:26:""listings_ads_purchase_date"";s:0:"""";s:30:""listings_ads_purchase_packages"";s:0:"""";s:4:""faqs"";a:2:{s:3:""faq"";a:1:{i:1;s:0:"""";}s:6:""faqans"";a:1:{i:1;s:0:"""";}}s:14:""business_hours"";s:0:"""";s:11:""campaign_id"";s:0:"""";s:14:""changed_planid"";s:0:"""";s:19:""listing_reported_by"";s:0:"""";s:16:""listing_reported"";s:0:"""";s:13:""business_logo"";s:0:"""";}",
Audrey Thompson (Designer Dressmaking),,,5e43e76ba24c7,"a:32:{s:12:""tagline_text"";s:0:"""";s:8:""gAddress"";s:43:""42 Earlbank Lane North, Glasgow G14 9HL, UK"";s:8:""latitude"";s:17:""55.87842389559987"";s:9:""longitude"";s:18:""-4.345031006619773"";s:6:""mappin"";s:0:"""";s:5:""phone"";s:13:""0141 959 5665"";s:8:""whatsapp"";s:0:"""";s:5:""email"";s:18:"" thmpsaudr@aol.com"";s:7:""website"";s:38:""http://www.audreythompsonbridal.co.uk/"";s:7:""twitter"";s:0:"""";s:8:""facebook"";s:0:"""";s:8:""linkedin"";s:0:"""";s:11:""google_plus"";s:0:"""";s:7:""youtube"";s:0:"""";s:9:""instagram"";s:0:"""";s:5:""video"";s:0:"""";s:7:""gallery"";s:0:"""";s:12:""price_status"";s:6:""notsay"";s:10:""list_price"";s:0:"""";s:13:""list_price_to"";s:0:"""";s:7:""Plan_id"";s:1:""0"";s:11:""reviews_ids"";s:0:"""";s:15:""claimed_section"";s:11:""not_claimed"";s:26:""listings_ads_purchase_date"";s:0:"""";s:30:""listings_ads_purchase_packages"";s:0:"""";s:4:""faqs"";a:2:{s:3:""faq"";a:1:{i:1;s:0:"""";}s:6:""faqans"";a:1:{i:1;s:0:"""";}}s:14:""business_hours"";s:0:"""";s:11:""campaign_id"";s:0:"""";s:14:""changed_planid"";s:0:"""";s:19:""listing_reported_by"";s:0:"""";s:16:""listing_reported"";s:0:"""";s:13:""business_logo"";s:0:"""";}",
